id;jhi_blob;jhi_blob_content_type;nome_file
1;../fake-data/blob/hipster.png;image/png;Guadeloupe
2;../fake-data/blob/hipster.png;image/png;Dong
3;../fake-data/blob/hipster.png;image/png;sign Female Buckinghamshire
4;../fake-data/blob/hipster.png;image/png;Southwest Mountain mint
5;../fake-data/blob/hipster.png;image/png;hack
6;../fake-data/blob/hipster.png;image/png;Intranet M2F Latin
7;../fake-data/blob/hipster.png;image/png;interlink
8;../fake-data/blob/hipster.png;image/png;Chicken Human hacking
9;../fake-data/blob/hipster.png;image/png;Tandem West Uganda
10;../fake-data/blob/hipster.png;image/png;Coupe
