id;jhi_blob;jhi_blob_content_type;nome_file
1;../fake-data/blob/hipster.png;image/png;alongside scalable
2;../fake-data/blob/hipster.png;image/png;Qatari capacitor
3;../fake-data/blob/hipster.png;image/png;Supervisor North
4;../fake-data/blob/hipster.png;image/png;Data
5;../fake-data/blob/hipster.png;image/png;Concrete Eula
6;../fake-data/blob/hipster.png;image/png;as
7;../fake-data/blob/hipster.png;image/png;navigate instead Leu
8;../fake-data/blob/hipster.png;image/png;manifestation SSD
9;../fake-data/blob/hipster.png;image/png;hack array
10;../fake-data/blob/hipster.png;image/png;Blues
